Sensors,Lat,Long
RWS01_MONIBAS_0010vwd0058ra,52.34494,4.97901
RWS01_MONIBAS_0010vwd0066ra,52.3393,4.98677
RWS01_MONIBAS_0010vwf0047ra,52.35062,4.96556
RWS01_MONIBAS_0010vwn0072ra,52.33628,4.9924
RWS01_MONIBAS_0010vwp0072ra,52.33601,4.99216
RWS01_MONIBAS_0010vwp0075ra,52.33472,4.99595
RWS01_MONIBAS_0010vwp0078ra,52.3336,4.99993
RWS01_MONIBAS_0010vwp0080ra,52.33284,5.00402
RWS01_MONIBAS_0010vwp0083ra,52.33252,5.00703
RWS01_MONIBAS_0010vwq0071ra,52.3362,4.99225
RWS01_MONIBAS_0010vwq0075ra,52.33472,4.99595
RWS01_MONIBAS_0010vwq0078ra,52.3336,4.99993
RWS01_MONIBAS_0010vwq0080ra,52.33284,5.00402
RWS01_MONIBAS_0010vwq0083ra,52.33252,5.00703
RWS01_MONIBAS_0011hrl0033ra,52.34378,4.95533
RWS01_MONIBAS_0011hrl0037ra,52.34695,4.95838
RWS01_MONIBAS_0011hrl0041ra,52.35013,4.96084
RWS01_MONIBAS_0011hrl0041rb,52.35013,4.96084
RWS01_MONIBAS_0011hrl0047ra,52.35155,4.96594
RWS01_MONIBAS_0011hrl0051ra,52.34884,4.96988
RWS01_MONIBAS_0011hrl0051rb,52.34884,4.96988
RWS01_MONIBAS_0011hrl0054ra,52.34739,4.97358
RWS01_MONIBAS_0011hrl0057ra,52.34568,4.97744
RWS01_MONIBAS_0011hrl0061ra,52.3432,4.98151
RWS01_MONIBAS_0011hrl0066ra,52.33925,4.98656
RWS01_MONIBAS_0011hrl0070ra,52.33726,4.98999
RWS01_MONIBAS_0011hrl0072ra,52.33616,4.99238
RWS01_MONIBAS_0011hrr0040ra,52.35232,4.96319
RWS01_MONIBAS_0011hrr0046ra,52.35016,4.96408
RWS01_MONIBAS_0011hrr0052ra,52.34777,4.97194
RWS01_MONIBAS_0011hrr0055ra,52.34672,4.97449
RWS01_MONIBAS_0011hrr0061ra,52.34303,4.98134
RWS01_MONIBAS_0011hrr0064ra,52.34056,4.98441
RWS01_MONIBAS_0011hrr0070ra,52.33713,4.98983
RWS01_MONIBAS_0011hrr0071ra,52.33605,4.99203
RWS01_MONIBAS_0020vwf0309ra,52.32887,4.91899
RWS01_MONIBAS_0020vwh0304ra,52.32997,4.90615
RWS01_MONIBAS_0020vwh0307ra,52.3302,4.91131
RWS01_MONIBAS_0020vwh0314ra,52.3259,4.91417
RWS01_MONIBAS_0021hrl0313ra,52.32613,4.91372
RWS01_MONIBAS_0021hrr0308ra,52.33071,4.91276
RWS01_MONIBAS_0021hrr0310ra,52.3286,4.9131
RWS01_MONIBAS_0021hrr0310rb,52.3286,4.9131
RWS01_MONIBAS_0021hrr0313ra,52.32662,4.91343
RWS01_MONIBAS_0040vwa0019ra,52.33887,4.81792
RWS01_MONIBAS_0040vwb0027ra,52.33615,4.8075
RWS01_MONIBAS_0040vwc0024ra,52.33698,4.81111
RWS01_MONIBAS_0040vwd0020ra,52.33808,4.81698
RWS01_MONIBAS_0040vwh0003ra,52.33795,4.84096
RWS01_MONIBAS_0040vwh0007ra,52.33758,4.83581
RWS01_MONIBAS_0040vwh0007rb,52.33782,4.83476
RWS01_MONIBAS_0041hrl0004ra,52.33758,4.83954
RWS01_MONIBAS_0041hrl0007ra,52.33815,4.83509
RWS01_MONIBAS_0041hrl0011ra,52.33822,4.82939
RWS01_MONIBAS_0041hrl0011rb,52.33822,4.82939
RWS01_MONIBAS_0041hrl0015ra,52.33828,4.82358
RWS01_MONIBAS_0041hrl0015rb,52.33828,4.82358
RWS01_MONIBAS_0041hrl0020ra,52.33829,4.81701
RWS01_MONIBAS_0041hrl0024ra,52.33715,4.81101
RWS01_MONIBAS_0041hrl0027ra,52.33519,4.80709
RWS01_MONIBAS_0041hrr0002ra,52.33851,4.84191
RWS01_MONIBAS_0041hrr0005ra,52.33886,4.8386
RWS01_MONIBAS_0041hrr0010ra,52.33886,4.8309
RWS01_MONIBAS_0041hrr0015ra,52.33887,4.82371
RWS01_MONIBAS_0041hrr0018ra,52.3388,4.82007
RWS01_MONIBAS_0041hrr0020ra,52.33866,4.81615
RWS01_MONIBAS_0041hrr0023ra,52.33785,4.81163
RWS01_MONIBAS_0041hrr0027ra,52.33613,4.80752
RWS01_MONIBAS_0050vwc0139ra,52.39304,4.77836
RWS01_MONIBAS_0051hrl0134ra,52.39326,4.77967
RWS01_MONIBAS_0051hrl0137ra,52.39346,4.78342
RWS01_MONIBAS_0051hrl0140ra,52.39346,4.78829
RWS01_MONIBAS_0051hrl0143ra,52.39346,4.79304
RWS01_MONIBAS_0051hrl0147ra,52.39346,4.79851
RWS01_MONIBAS_0051hrl0152ra,52.39313,4.80574
RWS01_MONIBAS_0051hrl0157ra,52.39221,4.81235
RWS01_MONIBAS_0051hrl0162ra,52.39193,4.82006
RWS01_MONIBAS_0051hrl0167ra,52.39194,4.82785
RWS01_MONIBAS_0051hrl0173ra,52.39229,4.83604
RWS01_MONIBAS_0051hrl0178ra,52.39524,4.84229
RWS01_MONIBAS_0051hrl0184ra,52.39979,4.84764
RWS01_MONIBAS_0051hrl0187ra,52.40165,4.84988
RWS01_MONIBAS_0051hrl0187rb,52.40165,4.84988
RWS01_MONIBAS_0051hrl0189ra,52.40297,4.85143
RWS01_MONIBAS_0051hrr0137ra,52.39334,4.78369
RWS01_MONIBAS_0051hrr0140ra,52.39332,4.7886
RWS01_MONIBAS_0051hrr0143ra,52.39334,4.79333
RWS01_MONIBAS_0051hrr0147ra,52.39336,4.7988
RWS01_MONIBAS_0051hrr0152ra,52.39301,4.80602
RWS01_MONIBAS_0051hrr0157ra,52.39208,4.81259
RWS01_MONIBAS_0051hrr0162ra,52.39184,4.82011
RWS01_MONIBAS_0051hrr0167ra,52.39185,4.82777
RWS01_MONIBAS_0051hrr0173ra,52.39214,4.83584
RWS01_MONIBAS_0051hrr0178ra,52.39497,4.84195
RWS01_MONIBAS_0051hrr0185ra,52.39965,4.84803
RWS01_MONIBAS_0051hrr0187ra,52.40122,4.84993
RWS01_MONIBAS_0080vwd0016ra,52.42755,4.87201
RWS01_MONIBAS_0080vwf0010ra,52.42337,4.87434
RWS01_MONIBAS_0080vwf0016ra,52.42764,4.87219
RWS01_MONIBAS_0080vwf0018ra,52.429,4.87078
RWS01_MONIBAS_0080vwq0010ra,52.42289,4.87445
RWS01_MONIBAS_0081hrl0006ra,52.42419,4.88239
RWS01_MONIBAS_0081hrl0013ra,52.42603,4.87429
RWS01_MONIBAS_0081hrl0021ra,52.4316,4.86802
RWS01_MONIBAS_0081hrl0021rb,52.4316,4.86802
RWS01_MONIBAS_0081hrr0008ra,52.42209,4.87501
RWS01_MONIBAS_0081hrr0013ra,52.42596,4.87581
RWS01_MONIBAS_0081hrr0019ra,52.43,4.87043
RWS01_MONIBAS_0081hrr0021ra,52.4317,4.86852
RWS01_MONIBAS_0100vwa0036ra,52.40966,4.93203
RWS01_MONIBAS_0100vwa0138ra,52.33673,4.9403
RWS01_MONIBAS_0100vwa0146ra,52.33289,4.92962
RWS01_MONIBAS_0100vwa0172ra,52.33449,4.89644
RWS01_MONIBAS_0100vwa0195ra,52.33856,4.86286
RWS01_MONIBAS_0100vwb0129ra,52.34017,4.95125
RWS01_MONIBAS_0100vwb0140ra,52.33574,4.93786
RWS01_MONIBAS_0100vwb0147ra,52.33259,4.92789
RWS01_MONIBAS_0100vwb0183ra,52.33505,4.89446
RWS01_MONIBAS_0100vwb0199ra,52.33893,4.86036
RWS01_MONIBAS_0100vwc0131ra,52.33885,4.94956
RWS01_MONIBAS_0100vwc0140ra,52.33544,4.9382
RWS01_MONIBAS_0100vwc0147ra,52.33178,4.92873
RWS01_MONIBAS_0100vwc0175ra,52.33505,4.89446
RWS01_MONIBAS_0100vwc0199ra,52.33778,4.85905
RWS01_MONIBAS_0100vwd0127ra,52.34137,4.95393
RWS01_MONIBAS_0100vwd0137ra,52.3366,4.94119
RWS01_MONIBAS_0100vwd0146ra,52.33268,4.93026
RWS01_MONIBAS_0100vwd0173ra,52.33381,4.89546
RWS01_MONIBAS_0100vwn0290ra,52.40665,4.8556
RWS01_MONIBAS_0100vwn0293ra,52.40899,4.85872
RWS01_MONIBAS_0100vwn0296ra,52.41117,4.86094
RWS01_MONIBAS_0100vwn0297ra,52.41242,4.86212
RWS01_MONIBAS_0100vwn0299ra,52.4134,4.86304
RWS01_MONIBAS_0100vwn0300ra,52.41469,4.86425
RWS01_MONIBAS_0100vwn0300rb,52.41402,4.86362
RWS01_MONIBAS_0100vwn0302ra,52.4159,4.86541
RWS01_MONIBAS_0100vwn0304ra,52.41717,4.86663
RWS01_MONIBAS_0100vwn0307ra,52.41947,4.86881
RWS01_MONIBAS_0100vwn0308ra,52.42065,4.87015
RWS01_MONIBAS_0100vwp0113ra,52.35283,4.96288
RWS01_MONIBAS_0100vwp0276ra,52.39215,4.84418
RWS01_MONIBAS_0100vwp0281ra,52.39755,4.8455
RWS01_MONIBAS_0100vwp0285ra,52.40446,4.85347
RWS01_MONIBAS_0100vwp0287ra,52.40446,4.85347
RWS01_MONIBAS_0100vwp0290ra,52.40697,4.8567
RWS01_MONIBAS_0100vwp0294ra,52.40971,4.86008
RWS01_MONIBAS_0100vwp0296ra,52.41131,4.86165
RWS01_MONIBAS_0100vwp0298ra,52.41245,4.86277
RWS01_MONIBAS_0100vwp0299ra,52.41321,4.86349
RWS01_MONIBAS_0100vwp0300ra,52.41401,4.86426
RWS01_MONIBAS_0100vwp0301ra,52.41457,4.86481
RWS01_MONIBAS_0100vwp0302ra,52.41537,4.86558
RWS01_MONIBAS_0100vwp0303ra,52.41613,4.86631
RWS01_MONIBAS_0100vwp0307ra,52.41903,4.86913
RWS01_MONIBAS_0100vwp0308ra,52.42009,4.87029
RWS01_MONIBAS_0100vwp0312ra,52.42194,4.87415
RWS01_MONIBAS_0100vwp0317ra,52.42613,4.87474
RWS01_MONIBAS_0100vwp0321ra,52.42954,4.87065
RWS01_MONIBAS_0100vwp0324ra,52.43125,4.86876
RWS01_MONIBAS_0100vwq0276ra,52.39755,4.8455
RWS01_MONIBAS_0100vwq0281ra,52.40446,4.85347
RWS01_MONIBAS_0100vwq0285ra,52.40446,4.85347
RWS01_MONIBAS_0100vwq0290ra,52.40697,4.8567
RWS01_MONIBAS_0100vwq0294ra,52.40971,4.86008
RWS01_MONIBAS_0100vwq0296ra,52.41131,4.86165
RWS01_MONIBAS_0100vwq0298ra,52.41245,4.86277
RWS01_MONIBAS_0100vwq0299ra,52.41321,4.86349
RWS01_MONIBAS_0100vwq0300ra,52.41401,4.86426
RWS01_MONIBAS_0100vwq0301ra,52.41457,4.86481
RWS01_MONIBAS_0100vwq0302ra,52.41537,4.86558
RWS01_MONIBAS_0100vwq0303ra,52.41613,4.86631
RWS01_MONIBAS_0100vwq0307ra,52.41903,4.86913
RWS01_MONIBAS_0100vwq0308ra,52.42003,4.87022
RWS01_MONIBAS_0100vwr0155ra,52.32908,4.91767
RWS01_MONIBAS_0100vws0163ra,52.32833,4.90703
RWS01_MONIBAS_0100vws0166ra,52.33027,4.90281
RWS01_MONIBAS_0100vws0206ra,52.339,4.83084
RWS01_MONIBAS_0100vws0212ra,52.33928,4.83906
RWS01_MONIBAS_0100vws0312ra,52.42649,4.87457
RWS01_MONIBAS_0100vws0319ra,52.42504,4.88508
RWS01_MONIBAS_0100vws0322ra,52.42527,4.88955
RWS01_MONIBAS_0100vwt0113ra,52.35298,4.96392
RWS01_MONIBAS_0100vwt0115ra,52.35118,4.96166
RWS01_MONIBAS_0100vwt0119ra,52.34936,4.96485
RWS01_MONIBAS_0100vwt0155ra,52.32901,4.91768
RWS01_MONIBAS_0100vwt0158ra,52.32936,4.91341
RWS01_MONIBAS_0100vwt0163ra,52.32668,4.91104
RWS01_MONIBAS_0101hrl0013ra,52.42208,4.90477
RWS01_MONIBAS_0101hrl0017ra,52.41968,4.90999
RWS01_MONIBAS_0101hrl0022ra,52.41757,4.91538
RWS01_MONIBAS_0101hrl0027ra,52.41486,4.92197
RWS01_MONIBAS_0101hrl0033ra,52.41153,4.92882
RWS01_MONIBAS_0101hrl0037ra,52.40955,4.93281
RWS01_MONIBAS_0101hrl0042ra,52.40743,4.93925
RWS01_MONIBAS_0101hrl0047ra,52.40505,4.94689
RWS01_MONIBAS_0101hrl0050ra,52.40384,4.94981
RWS01_MONIBAS_0101hrl0056ra,52.40017,4.95657
RWS01_MONIBAS_0101hrl0062ra,52.39588,4.9619
RWS01_MONIBAS_0101hrl0067ra,52.39223,4.9651
RWS01_MONIBAS_0101hrl0071ra,52.38903,4.9678
RWS01_MONIBAS_0101hrl0074ra,52.38614,4.97019
RWS01_MONIBAS_0101hrl0077ra,52.38364,4.97188
RWS01_MONIBAS_0101hrl0080ra,52.3813,4.97305
RWS01_MONIBAS_0101hrl0085ra,52.37712,4.9741
RWS01_MONIBAS_0101hrl0087ra,52.37532,4.97421
RWS01_MONIBAS_0101hrl0088ra,52.3736,4.97419
RWS01_MONIBAS_0101hrl0090ra,52.37244,4.97401
RWS01_MONIBAS_0101hrl0092ra,52.37083,4.97358
RWS01_MONIBAS_0101hrl0094ra,52.36905,4.97305
RWS01_MONIBAS_0101hrl0097ra,52.36578,4.97142
RWS01_MONIBAS_0101hrl0101ra,52.36287,4.96986
RWS01_MONIBAS_0101hrl0105ra,52.35941,4.96793
RWS01_MONIBAS_0101hrl0109ra,52.3563,4.96615
RWS01_MONIBAS_0101hrl0112ra,52.35334,4.96443
RWS01_MONIBAS_0101hrl0115ra,52.35096,4.96273
RWS01_MONIBAS_0101hrl0120ra,52.34668,4.95865
RWS01_MONIBAS_0101hrl0124ra,52.34366,4.95576
RWS01_MONIBAS_0101hrl0129ra,52.33986,4.95144
RWS01_MONIBAS_0101hrl0131ra,52.33897,4.94951
RWS01_MONIBAS_0101hrl0135ra,52.33754,4.94431
RWS01_MONIBAS_0101hrl0138ra,52.33618,4.93966
RWS01_MONIBAS_0101hrl0140ra,52.33554,4.9381
RWS01_MONIBAS_0101hrl0144ra,52.33373,4.9331
RWS01_MONIBAS_0101hrl0147ra,52.33219,4.92853
RWS01_MONIBAS_0101hrl0151ra,52.33034,4.92323
RWS01_MONIBAS_0101hrl0155ra,52.32882,4.91824
RWS01_MONIBAS_0101hrl0160ra,52.32847,4.91079
RWS01_MONIBAS_0101hrl0166ra,52.33029,4.90286
RWS01_MONIBAS_0101hrl0170ra,52.33221,4.8989
RWS01_MONIBAS_0101hrl0175ra,52.33535,4.89247
RWS01_MONIBAS_0101hrl0181ra,52.33806,4.88618
RWS01_MONIBAS_0101hrl0186ra,52.33859,4.87777
RWS01_MONIBAS_0101hrl0191ra,52.33844,4.87125
RWS01_MONIBAS_0101hrl0197ra,52.33805,4.86294
RWS01_MONIBAS_0101hrl0197rb,52.33805,4.86294
RWS01_MONIBAS_0101hrl0199ra,52.33784,4.85905
RWS01_MONIBAS_0101hrl0205ra,52.33743,4.85129
RWS01_MONIBAS_0101hrl0208ra,52.33719,4.84654
RWS01_MONIBAS_0101hrl0212ra,52.33861,4.84157
RWS01_MONIBAS_0101hrl0214ra,52.34128,4.84093
RWS01_MONIBAS_0101hrl0218ra,52.34444,4.84088
RWS01_MONIBAS_0101hrl0218rb,52.34444,4.84088
RWS01_MONIBAS_0101hrl0221ra,52.34691,4.84088
RWS01_MONIBAS_0101hrl0221rb,52.34691,4.84088
RWS01_MONIBAS_0101hrl0222ra,52.34825,4.84115
RWS01_MONIBAS_0101hrl0222rb,52.34825,4.84115
RWS01_MONIBAS_0101hrl0225ra,52.35086,4.84226
RWS01_MONIBAS_0101hrl0228ra,52.35351,4.84248
RWS01_MONIBAS_0101hrl0233ra,52.35803,4.84238
RWS01_MONIBAS_0101hrl0239ra,52.36293,4.84221
RWS01_MONIBAS_0101hrl0242ra,52.36571,4.84213
RWS01_MONIBAS_0101hrl0247ra,52.37044,4.84202
RWS01_MONIBAS_0101hrl0253ra,52.37585,4.84309
RWS01_MONIBAS_0101hrl0257ra,52.37937,4.84447
RWS01_MONIBAS_0101hrl0261ra,52.38315,4.84455
RWS01_MONIBAS_0101hrl0267ra,52.38806,4.84429
RWS01_MONIBAS_0101hrl0271ra,52.39218,4.84399
RWS01_MONIBAS_0101hrl0277ra,52.39711,4.84467
RWS01_MONIBAS_0101hrl0281ra,52.40014,4.84764
RWS01_MONIBAS_0101hrl0285ra,52.40313,4.8513
RWS01_MONIBAS_0101hrl0285rb,52.40313,4.8513
RWS01_MONIBAS_0101hrl0287ra,52.40468,4.85321
RWS01_MONIBAS_0101hrl0290ra,52.40656,4.85584
RWS01_MONIBAS_0101hrl0293ra,52.40891,4.85878
RWS01_MONIBAS_0101hrl0296ra,52.41107,4.86105
RWS01_MONIBAS_0101hrl0297ra,52.41233,4.86224
RWS01_MONIBAS_0101hrl0299ra,52.41331,4.86317
RWS01_MONIBAS_0101hrl0300ra,52.41462,4.86437
RWS01_MONIBAS_0101hrl0300rb,52.41394,4.86374
RWS01_MONIBAS_0101hrl0302ra,52.41584,4.86553
RWS01_MONIBAS_0101hrl0304ra,52.4171,4.86678
RWS01_MONIBAS_0101hrl0307ra,52.41943,4.86902
RWS01_MONIBAS_0101hrl0308ra,52.42061,4.87044
RWS01_MONIBAS_0101hrl0312ra,52.4228,4.87492
RWS01_MONIBAS_0101hrl0314ra,52.42341,4.87731
RWS01_MONIBAS_0101hrl0319ra,52.42491,4.88505
RWS01_MONIBAS_0101hrl0326ra,52.42482,4.89474
RWS01_MONIBAS_0101hrl0326rb,52.42482,4.89474
RWS01_MONIBAS_0101hrl0330ra,52.42386,4.89966
RWS01_MONIBAS_0101hrr0019ra,52.41869,4.91172
RWS01_MONIBAS_0101hrr0025ra,52.41586,4.91924
RWS01_MONIBAS_0101hrr0032ra,52.41223,4.92699
RWS01_MONIBAS_0101hrr0037ra,52.4094,4.93263
RWS01_MONIBAS_0101hrr0042ra,52.4073,4.93909
RWS01_MONIBAS_0101hrr0045ra,52.40606,4.94349
RWS01_MONIBAS_0101hrr0051ra,52.40304,4.95113
RWS01_MONIBAS_0101hrr0057ra,52.39925,4.9576
RWS01_MONIBAS_0101hrr0063ra,52.39482,4.96259
RWS01_MONIBAS_0101hrr0067ra,52.39145,4.96546
RWS01_MONIBAS_0101hrr0069ra,52.39007,4.96667
RWS01_MONIBAS_0101hrr0072ra,52.38809,4.96835
RWS01_MONIBAS_0101hrr0074ra,52.38609,4.96999
RWS01_MONIBAS_0101hrr0078ra,52.38327,4.97188
RWS01_MONIBAS_0101hrr0080ra,52.38135,4.97276
RWS01_MONIBAS_0101hrr0085ra,52.3771,4.9739
RWS01_MONIBAS_0101hrr0086ra,52.37621,4.974
RWS01_MONIBAS_0101hrr0087ra,52.37477,4.97405
RWS01_MONIBAS_0101hrr0088ra,52.3736,4.97401
RWS01_MONIBAS_0101hrr0090ra,52.37243,4.97385
RWS01_MONIBAS_0101hrr0092ra,52.37083,4.97343
RWS01_MONIBAS_0101hrr0093ra,52.36932,4.97292
RWS01_MONIBAS_0101hrr0097ra,52.36582,4.97122
RWS01_MONIBAS_0101hrr0103ra,52.36142,4.9688
RWS01_MONIBAS_0101hrr0109ra,52.35635,4.96592
RWS01_MONIBAS_0101hrr0110ra,52.35513,4.96522
RWS01_MONIBAS_0101hrr0113ra,52.35297,4.96395
RWS01_MONIBAS_0101hrr0118ra,52.34895,4.96068
RWS01_MONIBAS_0101hrr0123ra,52.34497,4.95667
RWS01_MONIBAS_0101hrr0127ra,52.34133,4.95321
RWS01_MONIBAS_0101hrr0129ra,52.33999,4.95128
RWS01_MONIBAS_0101hrr0133ra,52.33818,4.94629
RWS01_MONIBAS_0101hrr0135ra,52.33756,4.94362
RWS01_MONIBAS_0101hrr0138ra,52.3364,4.93974
RWS01_MONIBAS_0101hrr0141ra,52.33488,4.93579
RWS01_MONIBAS_0101hrr0144ra,52.3339,4.93292
RWS01_MONIBAS_0101hrr0147ra,52.33227,4.92828
RWS01_MONIBAS_0101hrr0149ra,52.33138,4.92567
RWS01_MONIBAS_0101hrr0153ra,52.32991,4.92138
RWS01_MONIBAS_0101hrr0153rb,52.32991,4.92138
RWS01_MONIBAS_0101hrr0157ra,52.32855,4.91551
RWS01_MONIBAS_0101hrr0163ra,52.32945,4.90731
RWS01_MONIBAS_0101hrr0169ra,52.3323,4.90058
RWS01_MONIBAS_0101hrr0171ra,52.3339,4.8976
RWS01_MONIBAS_0101hrr0175ra,52.33616,4.89328
RWS01_MONIBAS_0101hrr0180ra,52.33872,4.88815
RWS01_MONIBAS_0101hrr0185ra,52.33971,4.88091
RWS01_MONIBAS_0101hrr0189ra,52.33951,4.8743
RWS01_MONIBAS_0101hrr0194ra,52.33919,4.86728
RWS01_MONIBAS_0101hrr0197ra,52.33892,4.86215
RWS01_MONIBAS_0101hrr0203ra,52.33854,4.85454
RWS01_MONIBAS_0101hrr0205ra,52.33832,4.85037
RWS01_MONIBAS_0101hrr0209ra,52.33807,4.84456
RWS01_MONIBAS_0101hrr0215ra,52.3417,4.84148
RWS01_MONIBAS_0101hrr0219ra,52.34554,4.84111
RWS01_MONIBAS_0101hrr0225ra,52.35082,4.84251
RWS01_MONIBAS_0101hrr0229ra,52.35396,4.84272
RWS01_MONIBAS_0101hrr0233ra,52.358,4.8426
RWS01_MONIBAS_0101hrr0239ra,52.36293,4.84248
RWS01_MONIBAS_0101hrr0244ra,52.36783,4.84232
RWS01_MONIBAS_0101hrr0244rb,52.36783,4.84232
RWS01_MONIBAS_0101hrr0249ra,52.3719,4.84221
RWS01_MONIBAS_0101hrr0253ra,52.37587,4.84333
RWS01_MONIBAS_0101hrr0258ra,52.37994,4.84484
RWS01_MONIBAS_0101hrr0261ra,52.38323,4.84478
RWS01_MONIBAS_0101hrr0264ra,52.38573,4.84465
RWS01_MONIBAS_0101hrr0267ra,52.38814,4.84451
RWS01_MONIBAS_0101hrr0271ra,52.39229,4.84431
RWS01_MONIBAS_0101hrr0276ra,52.39586,4.84504
RWS01_MONIBAS_0101hrr0279ra,52.39827,4.84685
RWS01_MONIBAS_0101hrr0281ra,52.39984,4.84869
RWS01_MONIBAS_0101hrr0285ra,52.40294,4.85225
RWS01_MONIBAS_0101hrr0287ra,52.40438,4.8539
RWS01_MONIBAS_0101hrr0290ra,52.40694,4.85694
RWS01_MONIBAS_0101hrr0294ra,52.40968,4.86032
RWS01_MONIBAS_0101hrr0297ra,52.41143,4.86205
RWS01_MONIBAS_0101hrr0298ra,52.41264,4.86321
RWS01_MONIBAS_0101hrr0299ra,52.41338,4.86393
RWS01_MONIBAS_0101hrr0300ra,52.414,4.86452
RWS01_MONIBAS_0101hrr0301ra,52.41458,4.86508
RWS01_MONIBAS_0101hrr0302ra,52.4154,4.86587
RWS01_MONIBAS_0101hrr0303ra,52.41617,4.86661
RWS01_MONIBAS_0101hrr0305ra,52.41789,4.86826
RWS01_MONIBAS_0101hrr0308ra,52.42008,4.87079
RWS01_MONIBAS_0101hrr0308rb,52.42008,4.87079
RWS01_MONIBAS_0101hrr0312ra,52.42173,4.87482
RWS01_MONIBAS_0101hrr0317ra,52.42434,4.88199
RWS01_MONIBAS_0101hrr0323ra,52.42498,4.89042
RWS01_MONIBAS_0101hrr0330ra,52.42371,4.89955
RWS01_MONICA_00D00100A055D0070007,52.35232,4.96319
RWS01_MONICA_00D00100A055D007000B,52.35232,4.96319
RWS01_MONICA_00D00100A055D007000F,52.35232,4.96319
RWS01_MONICA_00D00100A434D0050005,52.35013,4.96084
RWS01_MONICA_00D00100A434D0050009,52.35013,4.96084
RWS01_MONICA_00D00100B85ED0070007,52.35016,4.96408
RWS01_MONICA_00D00100B85ED007000B,52.35016,4.96408
RWS01_MONICA_00D00100B85ED007000F,52.35016,4.96408
