Sensor Locations,Lat,Long
ABM01_A9_liafrS111_A9_liafrS112,52.299546,4.947535
ABM01_A9_liafrS112_Bijlmerdreef,52.306647,4.96816
ABM01_A9_reafrS112_A9_reafrS111,52.310421,4.978717
ABM01_A9li_knp_hlnd_AMC,52.285893,4.939138
ABM01_ABM01_A4_ReafrSloten_Riekerp,52.338788,4.820988
ABM01_afrit_A10Li_s102,52.395386,4.843973
ABM01_afrit_A10re_S103,52.380005,4.844856
ABM01_AV_Beneluxbaan_Boelelaan_Nijenrode,52.334879,4.868655
ABM01_AV_Beneluxbaan_Nijenrode_Boelelaan,52.327943,4.869046
ABM01_HR_1-3.b,52.324107,5.063391
ABM01_HR_1-B.b,52.3241,5.063418
ABM01_HR_1-C.b,52.32411,5.063377
ABM01_HR_1-G.a,52.32409,5.063459
ABM01_HR_1-G.b,52.324114,5.063364
ABM01_HR_2-A.b,52.266577,4.961714
ABM01_HR_2-D,52.266696,4.961649
ABM01_HR_2-E.a,52.266611,4.961695
ABM01_HR_2-E.b,52.266619,4.961691
ABM01_HR_3-1.b,52.266785,4.696283
ABM01_HR_3-2.b,52.266731,4.696207
ABM01_HR_3-E,52.266772,4.696264
ABM01_HR_4-A.a,52.378341,4.708302
ABM01_HR_4-A.b,52.378337,4.708544
ABM01_HR_4-B.a,52.378373,4.708538
ABM01_HR_4-B.b,52.378315,4.708306
ABM01_HR_4-I.a,52.378306,4.708307
ABM01_HR_4-I.b,52.378346,4.708543
ABM01_HR_5-1.a,52.437955,4.86099
ABM01_HR_5-A,52.437925,4.861023
ABM01_HR_5-B.a,52.437911,4.86104
ABM01_HR_5-B.b,52.438674,4.860193
ABM01_HR_5-C.a,52.438697,4.860168
ABM01_HR_5-C.b,52.437933,4.861015
ABM01_HR_6-A,52.421731,4.953023
ABM01_HR_6-B.b,52.421621,4.952565
ABM01_HR_6-G.a,52.421617,4.952607
ABM01_HR_6-G.b,52.421624,4.952634
ABM01_HR_A-6,52.391595,4.836403
ABM01_HR_B-1.b,52.372365,4.93391
ABM01_HR_B-6.a,52.371741,4.911223
ABM01_HR_B-6.b,52.372375,4.933951
ABM01_HR_G-6.a,52.320712,4.948061
ABM01_HR_G-6.b,52.320694,4.94801
ABM01_HR_I-4.a,52.342544,4.827561
ABM01_IR_A-B.a,52.391593,4.836535
ABM01_IR_A-B.b,52.384671,4.834837
ABM01_IR_A-C.A,52.384673,4.834911
ABM01_IR_A-C.b,52.384673,4.834955
ABM01_IR_A-D.b,52.391592,4.836638
ABM01_IR_A-E,52.384673,4.834925
ABM01_IR_A-G.a,52.384671,4.834808
ABM01_IR_A-G.b,52.391593,4.836579
ABM01_IR_A-I.a,52.384672,4.834852
ABM01_IR_A-I.b,52.384766,4.833985
ABM01_IR_B-A.a,52.390868,4.884827
ABM01_IR_B-A.b,52.385143,4.881213
ABM01_IR_B-C.a,52.37173,4.874086
ABM01_IR_B-C.b,52.360289,4.908324
ABM01_IR_B-D.a,52.359993,4.908596
ABM01_IR_B-D.b,52.35866,4.90382
ABM01_IR_B-E,52.3601,4.886753
ABM01_IR_B-G.a,52.359984,4.908601
ABM01_IR_B-G.b,52.358651,4.903825
ABM01_IR_B-I.a,52.363755,4.878547
ABM01_IR_B-I.b,52.361319,4.884534
ABM01_IR_C-A.a,52.361098,4.884998
ABM01_IR_C-A.b,52.358285,4.878573
ABM01_IR_C-B.a,52.361092,4.885009
ABM01_IR_C-B.b,52.360067,4.886964
ABM01_IR_C-D.a,52.360085,4.886917
ABM01_IR_C-D.b,52.355978,4.880007
ABM01_IR_C-E,52.35597,4.880015
ABM01_IR_C-G.b,52.360043,4.887014
ABM01_IR_C-I.a,52.358087,4.878327
ABM01_IR_C-I.b,52.356144,4.879771
ABM01_IR_D-A.a,52.348232,4.917675
ABM01_IR_D-A.b,52.348251,4.919705
ABM01_IR_D-B.a,52.348638,4.918557
ABM01_IR_D-B.b,52.348242,4.917698
ABM01_IR_D-C.a,52.348662,4.918494
ABM01_IR_D-C.b,52.348221,4.917652
ABM01_IR_D-E.a,52.348187,4.917583
ABM01_IR_D-E.b,52.348116,4.919412
ABM01_IR_D-G.a,52.348075,4.919334
ABM01_IR_D-I.a,52.348122,4.919423
ABM01_IR_E-A,52.335076,4.868539
ABM01_IR_E-B,52.341036,4.877078
ABM01_IR_E-C,52.341045,4.877078
ABM01_IR_E-D.a,52.335053,4.878921
ABM01_IR_E-G.a,52.335052,4.878892
ABM01_IR_E-H.a,52.334903,4.868655
ABM01_IR_E-H.b,52.335076,4.868525
ABM01_IR_E-I,52.335076,4.868554
ABM01_IR_F-A.a,52.307174,4.760546
ABM01_IR_F-A.b,52.307112,4.760368
ABM01_IR_F-B.a,52.307165,4.760521
ABM01_IR_F-B.b,52.307138,4.760444
ABM01_IR_F-C.a,52.307103,4.760342
ABM01_IR_F-C.b,52.307174,4.760496
ABM01_IR_F-D.a,52.307188,4.760584
ABM01_IR_F-D.b,52.30717,4.760533
ABM01_IR_F-E.a,52.307107,4.760355
ABM01_IR_F-E.b,52.307197,4.76061
ABM01_IR_F-G.b,52.30722,4.76067
ABM01_IR_G-A.b,52.320716,4.948074
ABM01_IR_G-B.a,52.32067,4.947939
ABM01_IR_G-B.b,52.312425,4.935979
ABM01_IR_G-C.b,52.320665,4.947926
ABM01_IR_G-D.a,52.320687,4.94799
ABM01_IR_G-D.b,52.312429,4.935992
ABM01_IR_G-E.a,52.312421,4.935966
ABM01_IR_G-E.b,52.320699,4.948023
ABM01_IR_G-I.a,52.320678,4.947964
ABM01_IR_H-A.a,52.300734,4.870572
ABM01_IR_H-B.a,52.300709,4.870556
